obstime,tempr,ap,ws,wd,rh
04-01-2012 08:00:00 PM,-0.2,976.4,14.7,-999,-999
04-01-2012 09:00:00 PM,-0.6,976.1,10.8,-999,-999
04-01-2012 10:00:00 PM,-0.9,975.9,12.5,-999,-999
04-01-2012 11:00:00 PM,-2.0,975.8,14.6,-999,-999
05-01-2012 12:00:00 AM,-2.4,975.4,18.5,-999,-999
05-01-2012 01:00:00 AM,-2.1,975.4,18.7,-999,-999
05-01-2012 02:00:00 AM,-2.6,975.4,22.2,-999,-999
05-01-2012 03:00:00 AM,-2.3,975.2,22.5,-999,-999
05-01-2012 04:00:00 AM,-1.4,975.4,21.1,-999,-999
05-01-2012 05:00:00 AM,-1.1,975.5,19.7,-999,-999
05-01-2012 06:00:00 AM,0.1,976.5,8.5,-999,-999
05-01-2012 07:00:00 AM,-0.7,976.8,7.2,-999,-999
05-01-2012 08:00:00 AM,-0.2,977.2,10.9,-999,-999
05-01-2012 09:00:00 AM,2.2,977.6,5.3,-999,-999
05-01-2012 10:00:00 AM,2.7,977.7,7.9,-999,-999
05-01-2012 11:00:00 AM,3.1,977.8,8.6,-999,-999
05-01-2012 12:00:00 PM,2.5,978.1,6.3,-999,-999
05-01-2012 01:00:00 PM,3.9,978.2,8.2,-999,-999
05-01-2012 02:00:00 PM,4.0,978.4,10.9,-999,-999
05-01-2012 03:00:00 PM,4.1,978.6,11.3,-999,-999
05-01-2012 04:00:00 PM,3.2,978.8,11.1,-999,-999
05-01-2012 05:00:00 PM,2.6,979.0,9.2,-999,-999
05-01-2012 06:00:00 PM,2.6,979.5,9.8,-999,-999
05-01-2012 07:00:00 PM,0.6,979.8,7.8,-999,-999
05-01-2012 08:00:00 PM,-0.1,980.3,8.3,-999,-999
05-01-2012 09:00:00 PM,-0.3,980.5,8.4,-999,-999
05-01-2012 10:00:00 PM,-1.2,980.9,7.8,-999,-999
05-01-2012 11:00:00 PM,-2.3,981.2,11.0,-999,-999
06-01-2012 12:00:00 AM,-3.9,981.7,11.4,-999,-999
06-01-2012 01:00:00 AM,-5.4,982.5,7.3,-999,-999
06-01-2012 02:00:00 AM,-5.5,982.8,5.8,-999,-999
06-01-2012 03:00:00 AM,-5.2,983.2,6.6,-999,-999
06-01-2012 04:00:00 AM,-5.1,983.6,13.2,-999,-999
06-01-2012 05:00:00 AM,-4.9,983.8,13.0,-999,-999
06-01-2012 06:00:00 AM,-5.1,984.1,13.0,-999,-999
06-01-2012 07:00:00 AM,-5.2,984.3,12.5,-999,-999
06-01-2012 08:00:00 AM,-4.6,984.4,10.9,-999,-999
06-01-2012 09:00:00 AM,-3.5,984.7,12.2,-999,-999
06-01-2012 10:00:00 AM,-3.5,984.6,9.0,-999,-999
06-01-2012 11:00:00 AM,-3.1,984.3,10.1,-999,-999
06-01-2012 12:00:00 PM,-2.7,984.3,8.3,-999,-999
06-01-2012 01:00:00 PM,-1.8,984.1,7.9,-999,-999
06-01-2012 02:00:00 PM,-1.8,983.9,9.2,-999,-999
06-01-2012 03:00:00 PM,-1.9,983.6,9.6,-999,-999
06-01-2012 04:00:00 PM,-2.4,983.5,11.2,-999,-999
06-01-2012 05:00:00 PM,-2.9,983.4,10.8,-999,-999
06-01-2012 06:00:00 PM,-3.4,983.6,10.5,-999,-999
06-01-2012 07:00:00 PM,-3.8,983.8,8.2,-999,-999
06-01-2012 08:00:00 PM,-4.0,984.1,10.8,-999,-999
06-01-2012 09:00:00 PM,-4.4,983.8,10.2,-999,-999
06-01-2012 10:00:00 PM,-4.0,983.8,10.0,-999,-999
06-01-2012 11:00:00 PM,-4.2,983.8,10.0,-999,-999
07-01-2012 12:00:00 AM,-4.4,983.5,9.5,-999,-999
07-01-2012 01:00:00 AM,-4.3,983.7,7.0,-999,-999
07-01-2012 02:00:00 AM,-4.2,983.6,6.8,-999,-999
07-01-2012 03:00:00 AM,-4.2,983.5,7.6,-999,-999
07-01-2012 04:00:00 AM,-4.2,983.1,7.6,-999,-999
07-01-2012 05:00:00 AM,-4.2,983.1,9.5,-999,-999
07-01-2012 06:00:00 AM,-4.2,983.0,11.2,-999,-999
07-01-2012 07:00:00 AM,-3.6,982.9,9.6,-999,-999
07-01-2012 08:00:00 AM,-2.6,982.6,8.6,-999,-999
07-01-2012 09:00:00 AM,-1.3,982.4,10.5,-999,-999
07-01-2012 10:00:00 AM,-0.8,982.1,10.3,-999,-999
07-01-2012 11:00:00 AM,-1.1,981.6,13.3,-999,-999
07-01-2012 12:00:00 PM,-0.6,981.2,9.5,-999,-999
07-01-2012 01:00:00 PM,-0.5,980.7,11.2,-999,-999
07-01-2012 02:00:00 PM,-0.4,980.1,10.7,-999,-999
07-01-2012 03:00:00 PM,-1.1,979.8,11.5,-999,-999
07-01-2012 04:00:00 PM,-1.0,979.2,11.8,-999,-999
07-01-2012 05:00:00 PM,-2.1,978.9,11.4,-999,-999
07-01-2012 06:00:00 PM,-2.7,978.7,12.4,-999,-999
07-01-2012 07:00:00 PM,-3.0,978.2,10.4,-999,-999
07-01-2012 08:00:00 PM,-2.7,977.7,8.7,-999,-999
07-01-2012 09:00:00 PM,-3.3,977.4,5.2,-999,-999
07-01-2012 10:00:00 PM,-3.4,977.0,7.1,-999,-999
07-01-2012 11:00:00 PM,-4.3,976.5,7.0,-999,-999
08-01-2012 12:00:00 AM,-5.3,976.1,5.9,-999,-999
08-01-2012 01:00:00 AM,-5.7,975.4,5.3,-999,-999
08-01-2012 02:00:00 AM,-5.5,974.6,3.9,-999,-999
08-01-2012 03:00:00 AM,-5.7,974.2,4.7,-999,-999
08-01-2012 04:00:00 AM,-5.5,973.7,6.7,-999,-999
08-01-2012 05:00:00 AM,-4.5,973.4,6.0,-999,-999
08-01-2012 06:00:00 AM,-3.9,973.3,6.0,-999,-999
08-01-2012 07:00:00 AM,-0.4,973.0,14.2,-999,-999
08-01-2012 08:00:00 AM,2.1,972.6,18.6,-999,-999
08-01-2012 09:00:00 AM,2.5,972.8,17.3,-999,-999
08-01-2012 10:00:00 AM,2.4,973.3,18.2,-999,-999
08-01-2012 11:00:00 AM,2.6,973.5,15.2,-999,-999
08-01-2012 12:00:00 PM,3.3,973.2,16.1,-999,-999
08-01-2012 01:00:00 PM,4.6,973.4,11.7,-999,-999
08-01-2012 02:00:00 PM,4.0,973.6,9.9,-999,-999
08-01-2012 03:00:00 PM,2.3,973.4,11.0,-999,-999
08-01-2012 04:00:00 PM,2.7,973.4,12.5,-999,-999
08-01-2012 05:00:00 PM,2.0,973.4,10.6,-999,-999
08-01-2012 06:00:00 PM,1.4,973.4,6.6,-999,-999
08-01-2012 07:00:00 PM,0.6,973.7,9.3,-999,-999
08-01-2012 08:00:00 PM,-0.4,974.1,12.4,-999,-999
08-01-2012 09:00:00 PM,0.2,974.2,18.6,-999,-999
08-01-2012 10:00:00 PM,-0.1,974.3,18.9,-999,-999
08-01-2012 11:00:00 PM,0.6,974.9,14.4,-999,-999
09-01-2012 12:00:00 AM,-0.3,974.9,20.8,-999,-999
09-01-2012 01:00:00 AM,0.0,975.3,15.0,-999,-999
09-01-2012 02:00:00 AM,-0.4,975.1,20.5,-999,-999
09-01-2012 03:00:00 AM,-0.4,975.4,19.7,-999,-999
09-01-2012 04:00:00 AM,-0.2,976.0,19.4,-999,-999
09-01-2012 05:00:00 AM,0.9,976.5,21.0,-999,-999
09-01-2012 06:00:00 AM,1.6,976.9,17.2,-999,-999
09-01-2012 07:00:00 AM,2.4,977.3,17.3,-999,-999
09-01-2012 08:00:00 AM,3.2,978.0,17.8,-999,-999
09-01-2012 09:00:00 AM,3.7,978.6,20.8,-999,-999
09-01-2012 10:00:00 AM,3.6,979.2,14.3,-999,-999
09-01-2012 11:00:00 AM,2.1,979.8,12.9,-999,-999
09-01-2012 12:00:00 PM,3.0,980.0,6.2,-999,-999
09-01-2012 01:00:00 PM,2.6,980.4,10.1,-999,-999
09-01-2012 02:00:00 PM,2.7,980.6,12.9,-999,-999
09-01-2012 03:00:00 PM,1.8,980.6,13.0,-999,-999
09-01-2012 04:00:00 PM,1.0,980.8,8.1,-999,-999
09-01-2012 05:00:00 PM,1.1,981.1,9.8,-999,-999
09-01-2012 06:00:00 PM,0.5,981.3,8.3,-999,-999
09-01-2012 07:00:00 PM,1.1,981.7,5.3,-999,-999
09-01-2012 08:00:00 PM,0.8,982.2,7.2,-999,-999
09-01-2012 09:00:00 PM,1.1,982.6,14.9,-999,-999
09-01-2012 10:00:00 PM,0.4,983.0,10.2,-999,-999
09-01-2012 11:00:00 PM,-1.6,983.3,13.1,-999,-999
10-01-2012 12:00:00 AM,-1.2,983.5,12.5,-999,-999
10-01-2012 01:00:00 AM,-1.1,983.6,12.7,-999,-999
10-01-2012 02:00:00 AM,-3.1,983.8,18.0,-999,-999
10-01-2012 03:00:00 AM,-2.5,984.0,16.5,-999,-999
10-01-2012 04:00:00 AM,-1.6,983.9,18.0,-999,-999
10-01-2012 05:00:00 AM,-1.3,984.0,21.8,-999,-999
10-01-2012 06:00:00 AM,-0.7,984.2,19.5,-999,-999
10-01-2012 07:00:00 AM,0.4,984.1,19.5,-999,-999
10-01-2012 08:00:00 AM,1.1,984.3,18.4,-999,-999
10-01-2012 09:00:00 AM,1.6,984.3,17.5,-999,-999
10-01-2012 10:00:00 AM,2.5,984.0,13.2,-999,-999
10-01-2012 11:00:00 AM,3.6,983.9,13.6,-999,-999
10-01-2012 12:00:00 PM,4.5,983.7,12.7,-999,-999
10-01-2012 01:00:00 PM,5.1,983.4,10.7,-999,-999
10-01-2012 02:00:00 PM,4.3,983.2,6.6,-999,-999
10-01-2012 03:00:00 PM,3.3,982.7,8.7,-999,-999
10-01-2012 04:00:00 PM,2.9,982.2,8.8,-999,-999
10-01-2012 05:00:00 PM,3.2,981.8,8.8,-999,-999
10-01-2012 06:00:00 PM,2.7,981.6,6.8,-999,-999
10-01-2012 07:00:00 PM,1.4,981.3,6.3,-999,-999
10-01-2012 08:00:00 PM,0.9,981.2,7.3,-999,-999
10-01-2012 09:00:00 PM,0.5,980.9,5.2,-999,-999
10-01-2012 10:00:00 PM,-0.2,980.4,17.4,-999,-999
10-01-2012 11:00:00 PM,-0.1,980.5,8.7,-999,-999
11-01-2012 12:00:00 AM,-0.6,979.9,18.5,-999,-999
11-01-2012 01:00:00 AM,-1.8,979.6,20.0,-999,-999
11-01-2012 02:00:00 AM,-1.9,979.4,21.9,-999,-999
11-01-2012 03:00:00 AM,-2.0,979.2,25.9,-999,-999
11-01-2012 04:00:00 AM,-1.7,979.2,25.2,-999,-999
11-01-2012 05:00:00 AM,-1.6,979.7,24.3,-999,-999
11-01-2012 06:00:00 AM,-0.3,980.4,20.9,-999,-999
11-01-2012 07:00:00 AM,0.5,981.4,16.9,-999,-999
11-01-2012 08:00:00 AM,0.7,981.5,16.4,-999,-999
11-01-2012 09:00:00 AM,2.1,981.7,13.2,-999,-999
11-01-2012 10:00:00 AM,2.8,981.9,13.0,-999,-999
11-01-2012 11:00:00 AM,2.4,981.7,10.9,-999,-999
11-01-2012 12:00:00 PM,4.6,981.7,10.7,-999,-999
11-01-2012 01:00:00 PM,5.1,981.8,13.5,-999,-999
11-01-2012 02:00:00 PM,3.9,981.6,14.9,-999,-999
11-01-2012 03:00:00 PM,3.1,981.3,14.5,-999,-999
11-01-2012 04:00:00 PM,2.5,980.8,12.0,-999,-999
11-01-2012 05:00:00 PM,2.2,980.4,11.6,-999,-999
11-01-2012 06:00:00 PM,1.8,980.3,9.8,-999,-999
11-01-2012 07:00:00 PM,1.4,980.2,12.6,-999,-999
11-01-2012 08:00:00 PM,0.6,980.0,12.7,-999,-999
11-01-2012 09:00:00 PM,-0.1,979.8,11.9,-999,-999
11-01-2012 10:00:00 PM,-0.7,979.7,13.9,-999,-999
11-01-2012 11:00:00 PM,-1.1,979.9,15.0,-999,-999
12-01-2012 12:00:00 AM,-1.2,979.6,16.2,-999,-999
12-01-2012 01:00:00 AM,-2.0,979.6,12.8,-999,-999
12-01-2012 02:00:00 AM,-2.0,979.8,12.2,-999,-999
12-01-2012 03:00:00 AM,-2.1,979.6,10.1,-999,-999
12-01-2012 04:00:00 AM,-2.1,979.6,12.7,-999,-999
12-01-2012 05:00:00 AM,-2.4,979.9,13.6,-999,-999
12-01-2012 06:00:00 AM,-2.0,979.8,15.4,-999,-999
12-01-2012 07:00:00 AM,-2.0,979.8,16.5,-999,-999
12-01-2012 08:00:00 AM,-1.7,979.9,21.2,-999,-999
12-01-2012 09:00:00 AM,-1.8,980.0,17.5,-999,-999
12-01-2012 10:00:00 AM,-1.9,979.9,15.5,-999,-999
12-01-2012 11:00:00 AM,-1.5,979.8,15.3,-999,-999
12-01-2012 12:00:00 PM,-0.7,979.8,12.1,-999,-999
12-01-2012 01:00:00 PM,0.1,979.7,18.4,-999,-999
12-01-2012 02:00:00 PM,0.2,979.6,15.2,-999,-999
12-01-2012 03:00:00 PM,-0.6,979.6,15.8,-999,-999
12-01-2012 04:00:00 PM,-1.0,979.5,13.4,-999,-999
12-01-2012 05:00:00 PM,-1.4,979.5,17.0,-999,-999
12-01-2012 06:00:00 PM,-2.2,979.7,16.5,-999,-999
12-01-2012 07:00:00 PM,-2.3,980.0,15.2,-999,-999
12-01-2012 08:00:00 PM,-2.6,980.0,12.5,-999,-999
12-01-2012 09:00:00 PM,-2.8,980.2,15.5,-999,-999
12-01-2012 10:00:00 PM,-2.9,980.6,14.7,-999,-999
12-01-2012 11:00:00 PM,-2.9,980.7,14.7,-999,-999
13-01-2012 12:00:00 AM,-3.0,980.7,11.5,-999,-999
13-01-2012 01:00:00 AM,-3.2,980.8,16.9,-999,-999
13-01-2012 02:00:00 AM,-3.3,980.8,12.7,-999,-999
13-01-2012 03:00:00 AM,-3.7,980.9,15.2,-999,-999
13-01-2012 04:00:00 AM,-4.5,981.1,16.7,-999,-999
13-01-2012 05:00:00 AM,-4.0,981.1,17.4,-999,-999
13-01-2012 06:00:00 AM,-3.6,981.3,14.3,-999,-999
13-01-2012 07:00:00 AM,-2.9,981.5,14.6,-999,-999
13-01-2012 08:00:00 AM,-2.4,981.7,15.8,-999,-999
13-01-2012 09:00:00 AM,-1.9,982.0,18.3,-999,-999
13-01-2012 10:00:00 AM,-2.3,982.0,17.0,-999,-999
13-01-2012 11:00:00 AM,-2.2,982.0,13.2,-999,-999
13-01-2012 12:00:00 PM,-1.9,981.7,10.7,-999,-999
13-01-2012 01:00:00 PM,-1.8,981.5,9.9,-999,-999
13-01-2012 02:00:00 PM,-1.5,981.1,4.6,-999,-999
13-01-2012 03:00:00 PM,-1.5,980.9,7.8,-999,-999
13-01-2012 04:00:00 PM,-0.8,980.6,5.3,-999,-999
13-01-2012 05:00:00 PM,-1.7,980.2,6.1,-999,-999
13-01-2012 06:00:00 PM,-1.4,979.6,5.2,-999,-999
13-01-2012 07:00:00 PM,-1.3,979.4,10.1,-999,-999
13-01-2012 08:00:00 PM,-1.7,979.0,11.7,-999,-999
13-01-2012 09:00:00 PM,-2.7,978.5,13.9,-999,-999
13-01-2012 10:00:00 PM,-3.7,978.1,16.0,-999,-999
13-01-2012 11:00:00 PM,-3.8,977.5,16.7,-999,-999
14-01-2012 12:00:00 AM,-3.3,977.1,13.4,-999,-999
14-01-2012 01:00:00 AM,-3.0,976.9,16.1,-999,-999
14-01-2012 02:00:00 AM,-3.8,976.3,19.6,-999,-999
14-01-2012 03:00:00 AM,-3.3,975.9,20.7,-999,-999
14-01-2012 04:00:00 AM,-2.3,975.9,16.0,-999,-999
14-01-2012 05:00:00 AM,-1.3,975.9,18.6,-999,-999
14-01-2012 06:00:00 AM,-0.3,976.3,6.9,-999,-999
14-01-2012 07:00:00 AM,0.3,976.7,9.3,-999,-999
14-01-2012 08:00:00 AM,0.2,977.3,18.7,-999,-999
